site,policy,lead_scenario,EENS_kWh
site5,b1,delayed,60.7034972
site5,b1,extreme,255.7491776
site5,b1,monsoon,105.6067748
site5,b1,normal,15.4376592
site5,multi,delayed,16.5722284
site5,multi,extreme,243.528956
site5,multi,monsoon,54.779032
site5,multi,normal,0.0
site5,rlinv,delayed,16.0520788
site5,rlinv,extreme,246.640664
site5,rlinv,monsoon,53.448149199999996
site5,rlinv,normal,0.0
site5,trackb,delayed,17.7136564
site5,trackb,extreme,526.228716
site5,trackb,monsoon,571.2242299999999
site5,trackb,normal,8.0461904
site6,a5,delayed,0.0
site6,a5,extreme,0.0
site6,a5,monsoon,0.0
site6,a5,normal,0.0
site6,a6,delayed,0.0
site6,a6,extreme,0.0
site6,a6,monsoon,0.0
site6,a6,normal,0.0
site6,a7,delayed,0.0
site6,a7,extreme,0.0
site6,a7,monsoon,0.0
site6,a7,normal,0.0
site6,b0,delayed,0.0
site6,b0,extreme,0.0
site6,b0,monsoon,0.0
site6,b0,normal,0.0
site6,b1,delayed,0.0
site6,b1,extreme,0.0
site6,b1,monsoon,0.0
site6,b1,normal,0.0
site6,multi,delayed,0.0
site6,multi,extreme,0.0
site6,multi,monsoon,0.0
site6,multi,normal,0.0
site6,rlinv,delayed,0.0
site6,rlinv,extreme,0.0
site6,rlinv,monsoon,0.0
site6,rlinv,normal,0.0
site6,trackb,delayed,0.0
site6,trackb,extreme,0.0
site6,trackb,monsoon,0.0
site6,trackb,normal,0.0
site7,a5,delayed,5.587082800000001
site7,a5,extreme,75.35194940000001
site7,a5,monsoon,16.2454212
site7,a5,normal,0.22065
site7,a6,delayed,5.126102800000001
site7,a6,extreme,87.0953496
site7,a6,monsoon,13.787476500000002
site7,a6,normal,1.8797507000000002
site7,a7,delayed,5.194017100000001
site7,a7,extreme,72.0998494
site7,a7,monsoon,15.337063200000003
site7,a7,normal,0.14255
site7,b0,delayed,37.3935683
site7,b0,extreme,95.9471628
site7,b0,monsoon,52.72183150000001
site7,b0,normal,15.485002000000001
site7,b1,delayed,20.990784200000004
site7,b1,extreme,83.99031500000001
site7,b1,monsoon,34.781182400000006
site7,b1,normal,5.967967
site7,multi,delayed,5.126102800000001
site7,multi,extreme,74.3754254
