policy,lead_scenario,site,seed,EENS_mean,diesel_mean,uptime_mean
a5,extreme,site1,21,0.0,36.545,100.0
a5,extreme,site1,42,0.0,36.545,100.0
a5,extreme,site1,99,0.0,36.545,100.0
a5,extreme,site1,123,0.0,36.545,100.0
a5,extreme,site1,314,0.0,36.545,100.0
a5,extreme,site1,500,0.0,36.545,100.0
a5,extreme,site1,777,0.0,36.545,100.0
a5,extreme,site1,999,0.0,36.545,100.0
a5,extreme,site10,7,0.0,41.66501000000001,100.0
a5,extreme,site10,13,0.0,41.66501000000001,100.0
a5,extreme,site10,21,0.0,41.66501000000001,100.0
a5,extreme,site10,42,0.0,41.66501000000001,100.0
a5,extreme,site10,99,0.0,41.66501000000001,100.0
a5,extreme,site10,123,0.0,41.66501000000001,100.0
a5,extreme,site10,314,0.0,41.66501000000001,100.0
a5,extreme,site10,500,0.0,41.66501000000001,100.0
a5,extreme,site10,777,0.0,41.66501000000001,100.0
a5,extreme,site10,999,0.0,41.66501000000001,100.0
a5,extreme,site2,7,231.60718000000003,517.95424,91.86111
a5,extreme,site2,13,210.50230000000002,539.05912,92.52779000000001
a5,extreme,site2,21,245.88768,503.67374,91.30557
a5,extreme,site2,42,203.9242,545.63722,92.80555
a5,extreme,site2,99,203.25547999999998,546.30594,92.77777
a5,extreme,site2,123,242.44698,507.11444,91.50001
a5,extreme,site2,314,132.0649,617.4965199999999,95.22222000000001
a5,extreme,site2,500,191.4957,558.06572,93.08333999999999
a5,extreme,site2,777,249.60214000000002,499.95928000000004,91.13889
a5,extreme,site2,999,283.07736,466.48406000000006,89.9722
a5,extreme,site3,7,0.0,122.62310000000005,100.0
a5,extreme,site3,13,0.0,122.62310000000005,100.0
a5,extreme,site3,21,0.0,122.62310000000005,100.0
a5,extreme,site3,42,0.0,122.62310000000005,100.0
a5,extreme,site3,99,0.0,122.62310000000005,100.0
a5,extreme,site3,123,1.1008600000000008,121.52224000000004,99.80556
a5,extreme,site3,314,0.0,122.62310000000005,100.0
a5,extreme,site3,500,0.0,122.62310000000005,100.0
a5,extreme,site3,777,0.0,122.62310000000005,100.0
a5,extreme,site3,999,3.688170000000001,118.93493000000004,99.5
a5,extreme,site4,7,0.0,207.05554,100.0
a5,extreme,site4,13,0.0,207.05554,100.0
a5,extreme,site4,21,0.0,207.05554,100.0
a5,extreme,site4,42,0.0,207.05554,100.0
a5,extreme,site4,99,0.0,207.05554,100.0
a5,extreme,site4,123,1.0162000000000004,206.03933999999998,99.94444
a5,extreme,site4,314,0.0,207.05554,100.0
a5,extreme,site4,500,0.0,207.05554,100.0
a5,extreme,site4,777,0.0,207.05554,100.0
a5,extreme,site4,999,3.8422600000000005,203.21328,99.83333
a5,extreme,site5,7,251.965364,458.664796,89.13888
a5,extreme,site5,13,236.24550399999998,474.384656,89.99999
a5,extreme,site5,21,278.919416,431.710744,87.86109
a5,extreme,site5,42,232.35964399999997,478.27051600000004,89.83333999999999
a5,extreme,site5,99,236.81221599999998,473.817944,89.52779000000001
a5,extreme,site5,123,264.76756,445.86260000000004,88.49999
a5,extreme,site5,314,167.168048,543.4621119999999,92.66668
a5,extreme,site5,500,224.04249599999997,486.587664,90.88889
a5,extreme,site5,777,282.520792,428.109368,87.72223
a5,extreme,site5,999,312.29743199999996,398.332728,86.41667
a5,extreme,site6,7,0.0,0.0,100.0
a5,extreme,site6,13,0.0,0.0,100.0
a5,extreme,site6,21,0.0,0.0,100.0
a5,extreme,site6,42,0.0,0.0,100.0
a5,extreme,site6,99,0.0,0.0,100.0
a5,extreme,site6,123,0.0,0.0,100.0
a5,extreme,site6,314,0.0,0.0,100.0
a5,extreme,site6,500,0.0,0.0,100.0
a5,extreme,site6,777,0.0,0.0,100.0
a5,extreme,site6,999,0.0,0.0,100.0
a5,extreme,site7,7,80.383745,196.400255,93.41666000000001
a5,extreme,site7,13,75.362365,201.421635,93.75001
a5,extreme,site7,21,85.336498,191.44750200000001,92.86112
a5,extreme,site7,42,69.46281100000002,207.321189,94.33333
a5,extreme,site7,99,65.29877400000001,211.485226,94.58333
a5,extreme,site7,123,86.28639100000001,190.497609,92.88888
a5,extreme,site7,314,39.777367000000005,237.00663300000002,96.77778
a5,extreme,site7,500,66.210851,210.573149,94.5
a5,extreme,site7,777,87.28382500000001,189.50017499999998,92.77779000000001
a5,extreme,site7,999,98.11686700000001,178.66713299999998,91.8889
a5,extreme,site8,7,0.0,26.8936,100.0
a5,extreme,site8,13,0.0,26.8936,100.0
a5,extreme,site8,21,0.41064,26.48296,99.88889
a5,extreme,site8,42,0.0,26.8936,100.0
a5,extreme,site8,99,0.0,26.8936,100.0
a5,extreme,site8,123,0.95724,25.93636,99.75
a5,extreme,site8,314,0.0,26.8936,100.0
a5,extreme,site8,500,0.312,26.581599999999998,99.94444
a5,extreme,site8,777,0.0,26.8936,100.0
a5,extreme,site8,999,1.20348,25.69012,99.66667
a5,extreme,site9,7,0.0,57.56046000000001,100.0
a5,extreme,site9,13,0.0,57.56046000000001,100.0
a5,extreme,site9,21,0.0,57.56046000000001,100.0
a5,extreme,site9,42,0.0,57.56046000000001,100.0
a5,extreme,site9,99,0.0,57.56046000000001,100.0
a5,extreme,site9,123,0.0,57.56046000000001,100.0
a5,extreme,site9,314,0.0,57.56046000000001,100.0
a5,extreme,site9,500,0.0,57.56046000000001,100.0
a5,extreme,site9,777,0.0,57.56046000000001,100.0
