site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site3,normal,0,360,0.6400458858338742,0.0,0,100.0,122.62310000000004,0,0,0,0.720046309833225,0.4467890763844912,0.3405853505207941,0.4666666666666667,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,1,360,0.8978558151376326,0.0,0,100.0,122.62310000000004,0,0,0,0.720046309833225,0.7045990056882497,0.5983952798245529,0.41388888888888886,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,2,360,0.38375680226035874,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.46549999281097565,0.2923249862986512,0.48055555555555557,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,3,360,0.5469648678219678,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.4778747250392514,0.3273490135677916,0.5583333333333333,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,4,360,0.307781120326638,0.0,0,100.0,122.62310000000004,0,2,0,0.720046309833225,0.41369097754392165,0.3037516194963166,0.5055555555555555,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,5,360,0.8102537803087884,0.0,0,100.0,122.62310000000004,0,0,0,0.720046309833225,0.6169969708594054,0.5107932449957083,0.41944444444444445,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,6,360,0.4806350129551042,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.46321153683905436,0.29695766607613555,0.5166666666666667,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,7,360,0.46137535805531094,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.5189518819392611,0.31551084696807824,0.4722222222222222,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,8,360,0.8075146127270791,0.0,0,100.0,122.62310000000004,0,0,0,0.720046309833225,0.6142578032776962,0.5080540774139991,0.41944444444444445,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
site3,normal,9,360,0.5264223036325569,0.0,0,100.0,122.62310000000004,0,1,0,0.720046309833225,0.4589988275165071,0.3068064493783807,0.5638888888888889,1314.9257619047619,648.5934047619048,a6,500,normal,phase3_a6,400000,0.3,0.9,360
