site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site2,delayed,0,360,0.818878552209952,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.7588447802818111,0.5793680090440079,0.6277777777777778,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,1,360,0.798589991333467,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.7268895527386592,0.5590794481675228,0.6666666666666666,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,2,360,0.7156460207790915,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.7531122488509504,0.5429188906968073,0.6583333333333333,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,3,360,0.6401501033276191,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.6776163313994781,0.5121832040318404,0.7444444444444445,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,4,360,0.807044875678741,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.8186777704172663,0.6343177455964566,0.6222222222222222,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,5,360,0.5395834615305437,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.7520496896024028,0.4845758895681098,0.6666666666666666,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,6,360,0.5522272774375565,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.6888601721760823,0.43417260959622794,0.7388888888888889,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,7,360,0.4680455775780956,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.6788451389832877,0.41303800561566173,0.7083333333333334,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,8,360,0.7686705532904826,0.0,0,100.0,749.56142,0,2,0,0.6408744709317017,0.7861367813623416,0.6470664056976754,0.6416666666666667,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
site2,delayed,9,360,0.5198081492592457,0.0,0,100.0,749.56142,0,3,0,0.6408744709317017,0.34727437733110467,0.12532098416743193,0.8944444444444445,2409.114428571428,1713.2071914285712,rlinv_tank2.0,13,normal,sensitivity_tank,400000,0.3,0.9,360
