t,day,hour_of_day,site,scenario,policy,seed,soc,inv_kwh,inv_pct,pending_flag,pending_qty_kwh,pending_pct,p_pv_kwh,p_load_kwh,p_grid_kwh,net_load,action_int,action_dg_raw,action_ord_raw,dg_on,order_qty_kwh,order_placed,p_dg_kwh,p_bat_kwh,fuel_used_kwh,fuel_used_L,delivery_kwh,arrival_flag,unmet_kwh,cum_unmet_kwh,stockout_flag,reward,mask_dg_blocked,mask_order_blocked,mask_order_clipped,violation,violation_soc,violation_tank,bat_charge_kwh,bat_discharge_kwh,served_kwh,grid_outage_flag,proxy_cost_diesel,proxy_cost_grid,proxy_cost_unmet,tank_cap_kwh
0,0.0,0,site5,normal,RLInv,42,0.24912280701754388,360.4104,0.6,1.0,180.2052,0.3,0.0,9.12,12.0,9.12,4,1,1.0,1.0,180.2052,1,0.0,2.880000000000001,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,2.880000000000001,0.0,9.12,0,0.0,4.800000000000001,0.0,600.684
1,0.041666666666666664,1,site5,normal,RLInv,42,0.32383040935672514,360.4104,0.6,1.0,180.2052,0.3,0.0,7.62,12.0,7.62,3,1,0.0,1.0,0.0,0,0.0,4.38,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,4.38,0.0,7.62,0,0.0,4.800000000000001,0.0,600.684
2,0.08333333333333333,2,site5,normal,RLInv,42,0.3906920077972709,360.4104,0.6,1.0,180.2052,0.3,0.0,8.08,12.0,8.08,3,1,0.0,1.0,0.0,0,0.0,3.92,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,3.92,0.0,8.08,0,0.0,4.800000000000001,0.0,600.684
3,0.125,3,site5,normal,RLInv,42,0.44834307992202727,360.4104,0.6,1.0,180.2052,0.3,0.0,8.62,12.0,8.62,3,1,0.0,1.0,0.0,0,0.0,3.380000000000001,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,3.380000000000001,0.0,8.62,0,0.0,4.800000000000001,0.0,600.684
4,0.16666666666666666,4,site5,normal,RLInv,42,0.5166374269005848,360.4104,0.6,1.0,180.2052,0.3,0.244,8.24,12.0,7.996,3,1,0.0,1.0,0.0,0,0.0,4.004,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,4.004,0.0,8.24,0,0.0,4.800000000000001,0.0,600.684
5,0.20833333333333334,5,site5,normal,RLInv,42,0.5902875243664717,360.4104,0.6,1.0,180.2052,0.3,0.828,8.51,12.0,7.6819999999999995,3,1,0.0,1.0,0.0,0,0.0,4.3180000000000005,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,4.3180000000000005,0.0,8.51,0,0.0,4.800000000000001,0.0,600.684
6,0.25,6,site5,normal,RLInv,42,0.6825292397660818,360.4104,0.6,1.0,180.2052,0.3,1.798,8.39,12.0,6.5920000000000005,3,1,0.0,1.0,0.0,0,0.0,5.4079999999999995,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,5.4079999999999995,0.0,8.39,0,0.0,4.800000000000001,0.0,600.684
7,0.2916666666666667,7,site5,normal,RLInv,42,0.7982066276803118,360.4104,0.6,1.0,180.2052,0.3,4.032,9.25,12.0,5.218,0,0,0.0,0.0,0.0,0,0.0,6.782,0.0,0.0,0.0,0,0.0,0.0,0,-0.5753441077172025,0,0,0,0,0,0,6.782,0.0,9.25,0,0.0,4.800000000000001,0.0,600.684
8,0.3333333333333333,8,site5,normal,RLInv,42,0.6548505523066925,360.4104,0.6,1.0,180.2052,0.3,5.36,8.89,0.0,3.5300000000000002,3,1,0.0,1.0,0.0,0,0.0,-3.5300000000000002,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,3.5300000000000002,8.89,1,0.0,0.0,0.0,600.684
9,0.375,9,site5,normal,RLInv,42,0.5582781026640674,360.4104,0.6,1.0,180.2052,0.3,6.522,8.9,0.0,2.378,3,1,0.0,1.0,0.0,0,0.0,-2.378,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,2.378,8.9,1,0.0,0.0,0.0,600.684
10,0.4166666666666667,10,site5,normal,RLInv,42,0.6111874593892136,360.4104,0.6,1.0,180.2052,0.3,11.892,8.79,0.0,-3.1020000000000003,3,1,0.0,1.0,0.0,0,0.0,3.1020000000000003,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,3.1020000000000003,0.0,8.79,1,0.0,0.0,0.0,600.684
