site,load_error,solar_error
site1,0.30475163148970325,0.8648757766291855
site10,0.26151112896486245,1.512630913473396
site2,0.6645385165732551,1.0336178829434592
site3,0.9505181337863954,1.3932231063278728
site4,0.6119624299923357,2.2397551617471496
site5,0.8513145099841785,1.052170947609246
site6,0.2524533565861269,0.6665429287268922
site7,0.3674686169956388,1.0080310680190292
site8,0.3032003213170511,1.514748767073519
site9,0.2662387817085287,1.0088782914363466
MEAN,0.48339574273980757,1.2294474843986096
