site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,eval_seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len,training_seed
site7,normal,0,360,0.7643736291335781,0.0,0,100.0,135.13434,0,2,0,0.7640699204931053,0.7808473369940556,0.6051117850507185,0.4333333333333333,922.9394761904762,504.3101304761905,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,1,360,0.6913795576205464,0.0,0,100.0,135.05778,0,2,0,0.8262812488719227,0.7443843531580951,0.5598390100155014,0.35,842.6016904761905,472.0984561904762,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,2,360,0.3735393058043229,0.0,0,100.0,89.69990000000001,0,3,0,0.8725309702368059,0.7643057150777407,0.2681586614862154,0.2416666666666666,909.3132142857144,453.42518571428576,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,3,360,0.6438783941685035,0.0,0,100.0,179.94815,0,3,0,0.785340652299473,0.873599737750372,0.6438783941685035,0.3361111111111111,855.4693333333335,522.1358833333334,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,4,360,0.8433625660141872,0.0,0,100.0,105.07817,0,1,0,0.8327166653129738,0.7877008434579712,0.5384080799657,0.3055555555555556,971.0641666666666,493.5038366666666,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,5,360,0.7450811967855364,0.0,0,100.0,108.86905000000002,0,1,0,0.8110305697693307,0.8517026942951023,0.6469027350460081,0.3388888888888889,877.8252380952381,459.99914523809525,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,6,360,0.5326199233713568,0.0,0,100.0,109.505,0,2,0,0.8120324829885929,0.782118365125697,0.5326199233713568,0.3638888888888889,917.9675476190477,476.6920190476191,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,7,360,0.5177125153656817,0.0,0,100.0,51.89245,0,2,0,0.9146476247202368,0.8814440785304931,0.4653512136601337,0.2166666666666666,930.435476190476,424.06664047619046,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,8,360,0.7724536151319743,0.0,0,100.0,107.718,0,1,0,0.8465324931412894,0.7998438635945125,0.6021281887449913,0.3277777777777778,931.0635952380952,480.1434380952381,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
site7,normal,9,360,0.8654647177622501,0.0,0,100.0,96.07251,0,1,0,0.8287786700869973,0.8392660534662153,0.6393062521019222,0.3277777777777778,967.679,483.14411,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,123
