site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,eval_seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len,training_seed
site2,extreme,0,360,0.7643736291335781,0.0,0,100.0,335.44114,0,1,0,0.7727891792560102,0.4769917213573293,0.2814938361965202,0.3833333333333333,2568.441047619048,1362.8175590476194,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,1,360,0.6913795576205464,0.0,0,100.0,399.34576,0,1,0,0.7551190539040502,0.3326717286848375,0.1165067262824108,0.3666666666666666,2551.2554285714286,1419.8479314285714,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,2,360,0.3735393058043229,219.6136,28,92.2222,409.67546,0,2,0,0.648972295547253,0.1846541033287038,0.0462582161327099,0.375,2345.617142857143,1347.922317142857,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,3,360,0.6438783941685035,60.402,7,98.0556,615.31794,0,2,0,0.6694314365840012,0.6318477096464648,0.05810570851147,0.4638888888888889,2409.463285714286,1579.1032542857145,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,4,360,0.8433625660141872,0.0,0,100.0,300.4698,0,1,0,0.7672443449480183,0.7102546481151174,0.4108252964120177,0.4138888888888888,2719.2322380952382,1388.1626952380957,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,5,360,0.7450811967855364,0.0,0,100.0,970.1104,0,4,0,0.571362252725435,0.4743552023376691,0.0775335337292276,0.6833333333333333,1976.7288571428571,1760.8019428571429,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,6,360,0.5326199233713568,516.04274,65,81.9444,1162.45888,0,4,0,0.4407883343260415,0.3462623687153516,0.0592178377707531,0.5388888888888889,1321.1922857142858,1690.9357942857146,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,7,360,0.5177125153656817,105.887,12,96.6667,533.7336,0,2,0,0.6789871286369215,0.2710675113253825,0.0493834718513698,0.4583333333333333,2466.231904761905,1520.226361904762,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,8,360,0.7724536151319743,346.20488000000006,42,88.3333,496.58484,0,1,0,0.5589901721897336,0.2329616211146881,0.0576015707021169,0.3888888888888889,2166.467333333333,1363.1717733333337,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
site2,extreme,9,360,0.8654647177622501,0.0,0,100.0,247.47796,0,1,0,0.7479854974370082,0.7142364658810956,0.5092111405138379,0.4916666666666666,2840.275285714286,1383.5880742857144,rlinv_stoch_test,42,normal,stochastic_grid,400000,0.3,0.9,360,42
