site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,eval_seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len,training_seed
site2,extreme,0,360,0.7643736291335781,0.0,0,100.0,309.04562000000004,0,1,0,0.7654317050664212,0.4979906704156485,0.3194911529003269,0.4611111111111111,2602.2879523809524,1349.960800952381,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,1,360,0.6913795576205464,0.0,0,100.0,412.1561400000001,0,1,0,0.7737640186177892,0.3595834720564111,0.0980657156125655,0.4416666666666666,2543.5215714285714,1429.5647685714289,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,2,360,0.3735393058043229,375.6576,48,86.6667,429.91714,0,2,0,0.6167275275702115,0.1053449404544163,0.0462582161327099,0.3138888888888889,2177.617142857143,1300.9639971428574,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,3,360,0.6438783941685035,17.85,2,99.4444,620.7573600000001,0,3,0,0.6587293911540684,0.6359861476405057,0.0502754644236469,0.5444444444444444,2426.213285714286,1591.2426742857149,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,4,360,0.8433625660141872,0.0,0,100.0,277.35954000000004,0,1,0,0.7692749429192838,0.7167493843696222,0.4440933611566151,0.4805555555555555,2746.149238095238,1375.8192352380952,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,5,360,0.7450811967855364,37.120000000000005,4,98.8889,1106.00538,0,4,0,0.5093904670691647,0.3619478799428945,0.0529459897513849,0.7972222222222223,1809.670857142857,1829.873722857143,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,6,360,0.5326199233713568,0.0,0,100.0,795.3653400000001,0,5,0,0.6387874386325898,0.533042821711923,0.364227626619527,0.625,2163.9142857142856,1660.9310542857145,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,7,360,0.5177125153656817,0.0,0,100.0,452.23854000000006,0,2,0,0.6915349591184753,0.3159444846101424,0.1526119205491649,0.5722222222222222,2677.2169523809525,1523.1253209523811,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,8,360,0.7724536151319743,284.9501200000001,38,89.4444,496.34844,0,1,0,0.5604749115587323,0.2480012923437262,0.0579418771506651,0.5055555555555555,2247.1890000000003,1395.22404,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
site2,extreme,9,360,0.8654647177622501,290.514,34,90.5556,562.85076,0,1,0,0.612615427135225,0.5946558012886413,0.0552204571946122,0.4527777777777778,2149.5398571428573,1422.666702857143,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360,777
